/,,,,,개발자 전달용 피그마 : https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2104-23870&t=MlhrLKl52ZbixSEe-1,,,,
프로젝트 명,픽랩,,,,,,,,
작성자,이다은,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,사전 조건 (Precondition),디스플레이,재현 경로 ,재현 결과 (이미지),기대 결과,발생 빈도,반영작업 여부,비고
,,비로그인,WEB,메인화면  > 간편로그인,,"PICKLAB 회원가입 으로 수정하여 노출

클릭 시, 링크에 첨부된 화면으로 이동
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-72980&t=kcWmPIgSu19RsYvO-1",100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의,,"프로세스 바의 가운데 선을 추가하여 노출

전분적으로 링크 참고하여 디자인 반영하여 노출
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2-25064&t=kcWmPIgSu19RsYvO-1

스크린 스펙 내용 (꼭 확인해주세요!
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2374-18440&t=kcWmPIgSu19RsYvO-1",100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의 > 회원정보,,"프로새스 바의 가운데 선 추가하여 노출
현재 화면에 해당하는 단계만 primary 적용
primay 컴포넌트의 레이븥은 gray-60 적용

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2369-19653&t=kcWmPIgSu19RsYvO-1",100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의 > 회원정보 ,,"간격 8px로 수정하여 노출
서브텍스트 컬러는 gray- 50으로 수정하여 노출

-> 회원정보, 회원정보, 관심직무 화면에서 모두 적용해주세요

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2369-19653&t=kcWmPIgSu19RsYvO-1",100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의 > 회원정보 ,,"링크 참고하여 버튼 수정하여 노출

링크:https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2369-19653&t=kcWmPIgSu19RsYvO-1

스크린 스펙 (꼭 확인해주세요!)
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2374-19696&t=kcWmPIgSu19RsYvO-1",100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의 > 회원정보 ,,option 너비가 드롭다운의 너비와 동일하게 수정하여 노출,100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의 > 회원정보 > 관심직무,,"5개 이상 선택 시, 에러문구 노출되는 조건 적용

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-80910&t=kcWmPIgSu19RsYvO-1",100,반영,
,,비로그인,WEB,메인화면  > 간편로그인 > 간편 회원가입 > 약관동의 > 회원정보 > 관심직무,,"다음으로 버튼 클리 시, 회원가입 완료 화면으로 이동 및 로그인된 상태로 홈화면으로 이동",100,반영,
,,비로그인,WEB,메인화면  > 공고상세,,top padding을 40px로 수정하여 노출,100,반영,
,,비로그인,WEB,메인화면  > 공고상세,,gap 12px로 수정하여 노출,100,반영,
